127.0.0.1 - - [06/Apr/2023:16:08:29 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:08:30 +0900] "GET /newLecture/firstJsp.jsp HTTP/1.1" 500 2608
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:08:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:09:43 +0900] "GET /newLecture/firstJsp.jsp HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:11:03 +0900] "GET /newLecture/firstJsp.jsp HTTP/1.1" 200 3036
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:11:11 +0900] "GET /newLecture/firstJsp.jsp?cnt HTTP/1.1" 200 3036
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:11:15 +0900] "GET /newLecture/firstJsp.jsp?cnt= HTTP/1.1" 200 3036
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:11:19 +0900] "GET /newLecture/firstJsp.jsp?cnt=3 HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:11:24 +0900] "GET /newLecture/firstJsp.jsp?cnt=asdf HTTP/1.1" 500 2736
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:14:53 +0900] "GET /newLecture/firstJsp.jsp HTTP/1.1" 200 3036
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:15:00 +0900] "GET /newLecture/firstJsp.jsp?cnt HTTP/1.1" 200 3036
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:15:06 +0900] "GET /newLecture/firstJsp.jsp?cnt= HTTP/1.1" 200 3036
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:15:10 +0900] "GET /newLecture/firstJsp.jsp?cnt=3 HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:15:13 +0900] "GET /newLecture/firstJsp.jsp?cnt=safd HTTP/1.1" 200 3065
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:15:49 +0900] "GET /newLecture/firstJsp.jsp HTTP/1.1" 200 3036
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:15:55 +0900] "GET /newLecture/firstJsp.jsp?cnt=safd HTTP/1.1" 200 165
