127.0.0.1 - - [09/Jun/2023:17:15:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /announcement.noticeBoard HTTP/1.1" 200 13482
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /static/css/costomer-center/announcement.css HTTP/1.1" 200 12977
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /static/css/header-mypage.css HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /static/css/font/font.css HTTP/1.1" 200 21779
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /static/css/mypage/mypage-modal.css HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /static/js/mypage/mypage-modal.js HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /static/css/header-footer/header.css HTTP/1.1" 200 23181
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /static/css/header-footer/footer.css HTTP/1.1" 200 22691
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /static/js/costomer-center/announcement.js HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /static/css/font/notosans/NotoSansKR-Thin.otf HTTP/1.1" 200 4363844
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /static/css/font/notosans/NotoSansKR-Regular.otf HTTP/1.1" 200 4723888
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /assets/images/svg/arrow_right_topBanner.svg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /static/image/logo.png HTTP/1.1" 200 29080
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /static/css/header-footer/chevron_up.3db1f7ee401e3d2d.svg HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [09/Jun/2023:17:16:10 +0900] "GET /static/css/font/notosans/NotoSansKR-Medium.otf HTTP/1.1" 200 4747756
